City,Population,"Violent
 crime","Murder and
 nonnegligent
 manslaughter",Rape1,Robbery,"Aggravated
 assault","Property
 crime",Burglary,"Larceny-
 theft","Motor
 vehicle
 theft",Arson,TOTAL_CRIMES
Aberdeen,"16,627",71,1,25,14,31,680,123,519,38,6,"18,135"
Airway Heights,"9,545",27,0,8,5,14,408,58,304,46,2,"10,417"
Algona,"3,247",6,0,2,2,2,52,8,39,5,1,"3,364"
Anacortes,"17,483",20,1,2,6,11,387,67,306,14,0,"18,297"
Arlington,"20,043",47,1,7,5,34,703,93,570,40,3,"21,546"
Bainbridge Island,"25,080",10,0,3,0,7,226,42,179,5,0,"25,552"
Battle Ground,"21,375",17,0,8,5,4,444,53,365,26,0,"22,297"
Beaux Arts,331,0,0,0,0,0,2,1,1,0,0,335
Bellevue,"150,200",185,1,28,76,80,"4,263",426,"3,498",339,3,"159,099"
Bellingham,"91,906",251,4,28,61,158,"2,689",323,"2,251",115,6,"97,792"
Bingen,740,1,0,0,0,1,9,4,5,0,0,760
Bonney Lake,"21,574",35,0,10,7,18,362,62,268,32,2,"22,370"
Bothell,"47,565",30,0,11,8,11,964,102,776,86,5,"49,558"
Bremerton,"41,675",168,1,26,34,107,"1,358",234,984,140,6,"44,733"
Brier,"7,070",2,0,1,0,1,68,5,58,5,0,"7,210"
Buckley,"5,534",10,0,3,0,7,77,32,40,5,3,"5,711"
Burien,"52,388",180,3,21,56,100,"1,744",341,964,439,12,"56,248"
Burlington,"9,219",19,1,8,5,5,597,56,513,28,2,"10,453"
Camas,"24,388",10,1,4,2,3,221,30,180,11,0,"24,850"
Castle Rock,"2,291",1,0,0,0,1,43,7,32,4,0,"2,379"
Centralia,"17,603",60,1,14,13,32,670,102,525,43,1,"19,064"
Chehalis,"7,682",22,0,3,7,12,377,46,309,22,0,"8,480"
Cheney,"12,632",39,0,16,5,18,204,56,137,11,0,"13,118"
Chewelah,"2,673",1,0,0,0,1,33,4,28,1,0,"2,741"
Cle Elum,"2,989",5,0,1,1,3,77,17,57,3,1,"3,154"
Clyde Hill,"3,436",0,0,0,0,0,38,4,32,2,1,"3,513"
College Place,"9,428",11,0,1,1,9,161,27,129,5,1,"9,773"
Connell,"5,772",11,0,3,0,8,39,14,24,1,0,"5,872"
Covington,"21,698",36,0,5,10,21,582,88,447,47,0,"22,934"
Darrington,"1,429",4,0,0,0,4,11,4,7,0,0,"1,459"
Des Moines,"32,708",86,1,17,31,37,"1,007",139,691,177,6,"34,900"
Dupont,"9,672",20,0,0,0,20,123,26,88,9,3,"9,961"
Duvall,"8,244",5,0,4,0,1,46,0,43,3,0,"8,346"
East Wenatchee,"14,293",8,1,0,1,6,192,13,171,8,1,"14,694"
Eatonville,"3,061",19,0,2,0,17,31,4,20,7,0,"3,161"
Edgewood,"11,981",24,0,2,4,18,202,83,101,18,4,"12,437"
Edmonds,"43,152",87,1,10,24,52,909,138,723,48,2,"45,146"
Ellensburg,"21,324",45,0,11,5,29,652,79,545,28,2,"22,720"
Enumclaw,"11,975",6,0,1,0,5,208,29,146,33,3,"12,406"
Ephrata,"8,253",17,0,4,1,12,394,105,258,31,2,"9,077"
Everett,"112,302",341,6,40,87,208,"3,991",498,"2,669",824,13,"120,979"
Everson,"4,428",1,0,0,0,1,40,2,38,0,1,"4,511"
Federal Way,"98,025",330,4,35,147,144,"4,164",519,"3,041",604,13,"107,026"
Fife,"10,324",78,1,10,23,44,664,89,401,174,3,"11,811"
Fircrest,"6,852",11,0,2,0,9,98,23,72,3,2,"7,072"
Forks,"3,903",11,0,1,0,10,65,11,51,3,0,"4,055"
Gig Harbor,"10,931",14,0,2,5,7,447,44,383,20,1,"11,854"
Gold Bar,"2,370",5,0,3,1,1,40,16,21,3,0,"2,460"
Goldendale,"3,508",9,0,1,1,7,145,24,109,12,1,"3,817"
Grand Coulee,"2,079",8,0,5,0,3,62,21,33,8,0,"2,219"
Grandview,"11,179",10,0,1,3,6,204,29,137,38,0,"11,607"
Ilwaco,967,2,0,0,0,2,4,1,2,1,0,979
Issaquah,"40,651",20,0,9,2,9,"1,138",78,980,80,2,"42,969"
Kalama,"2,766",3,0,0,0,3,30,4,24,2,0,"2,832"
Kelso,"12,354",33,1,11,6,15,392,47,330,15,5,"13,209"
Kenmore,"23,430",18,0,4,6,8,242,42,171,29,0,"23,950"
Kennewick,"84,072",253,2,54,49,148,"2,487",378,"1,907",202,12,"89,564"
Kent,"131,003",486,4,94,242,146,"5,200",754,"3,598",848,14,"142,389"
La Center,"3,324",3,0,0,1,2,41,11,29,1,6,"3,418"
Lacey,"51,816",105,0,29,17,59,"1,436",180,"1,136",120,3,"54,901"
Lake Forest Park,"13,690",3,0,0,2,1,196,30,147,19,0,"14,088"
Lake Stevens,"34,081",44,0,10,4,30,284,74,170,40,2,"34,739"
Lakewood,"60,916",461,2,49,101,309,"2,296",385,"1,607",304,8,"66,438"
Liberty Lake,"11,043",8,0,0,2,6,166,22,135,9,0,"11,391"
Long Beach,"1,441",1,0,0,0,1,15,1,13,1,0,"1,473"
Longview,"38,282",101,1,30,19,51,"1,102",159,841,102,8,"40,696"
Lynden,"15,116",14,0,4,2,8,263,30,229,4,1,"15,671"
Lynnwood,"38,847",113,0,15,38,60,"1,855",145,"1,499",211,4,"42,787"
Maple Valley,"27,705",15,1,4,4,6,311,77,208,26,4,"28,361"
Marysville,"71,081",144,0,27,38,79,"1,404",206,973,225,7,"74,184"
Medina,"3,337",0,0,0,0,0,53,14,36,3,0,"3,443"
Mercer Island,"26,408",8,1,2,1,4,371,64,287,20,1,"27,167"
Mill Creek,"21,360",17,0,2,2,13,290,26,238,26,0,"21,974"
Milton,"8,381",32,0,3,6,23,210,57,126,27,2,"8,867"
Monroe,"19,630",58,1,15,1,41,559,58,449,52,3,"20,867"
Montesano,"4,033",3,0,0,1,2,37,8,25,4,0,"4,113"
Mountlake Terrace,"21,617",37,0,6,13,18,466,92,311,63,0,"22,623"
Mount Vernon,"36,274",55,0,13,17,25,"1,140",126,899,115,5,"38,669"
Moxee,"4,151",1,0,1,0,0,21,5,13,3,0,"4,195"
Mukilteo,"21,704",22,0,5,3,14,351,62,259,30,1,"22,451"
Newcastle,"12,015",10,0,2,2,6,196,45,123,28,1,"12,428"
Newport,"2,156",2,0,0,1,1,44,0,41,3,0,"2,248"
Normandy Park,"6,699",1,0,1,0,0,124,20,98,6,0,"6,949"
North Bend,"7,314",5,1,1,0,3,199,12,182,5,1,"7,723"
Oak Harbor,"23,554",31,0,8,2,21,134,26,95,13,0,"23,884"
Oakville,690,2,0,1,0,1,9,4,4,1,0,712
Olympia,"53,286",254,2,25,70,157,"1,854",244,"1,409",201,10,"57,512"
Orting,"8,629",12,0,2,3,7,129,17,99,13,1,"8,912"
Othello,"8,388",7,0,2,1,4,145,27,91,27,1,"8,693"
Pacific,"7,297",6,0,3,2,1,133,21,80,32,0,"7,575"
Port Angeles,"20,207",117,0,38,14,65,719,127,529,63,3,"21,882"
Port Orchard,"14,684",66,0,7,14,45,492,74,376,42,0,"15,800"
Port Townsend,"9,780",41,0,8,1,32,172,39,124,9,6,"10,212"
Poulsbo,"11,154",19,0,6,5,8,265,48,196,21,0,"11,722"
Prosser,"6,388",7,0,0,2,5,124,38,76,10,2,"6,652"
Pullman,"34,585",42,0,14,5,23,273,44,213,16,2,"35,217"
Puyallup,"42,509",133,0,16,55,62,"2,187",284,"1,652",251,18,"47,167"
Quincy,"7,977",13,0,0,2,11,144,38,78,28,0,"8,291"
Raymond,"2,976",6,0,1,0,5,31,11,16,4,0,"3,050"
Redmond,"69,501",71,1,11,17,42,"1,846",163,"1,563",120,4,"73,339"
Renton,"103,452",325,2,44,109,170,"4,182",456,"2,913",813,10,"112,476"
Richland,"58,514",100,2,24,9,65,"1,199",195,949,55,10,"61,122"
Ridgefield,"8,955",10,0,3,1,6,74,16,58,0,0,"9,123"
Ritzville,"1,645",1,0,1,0,0,57,18,38,1,0,"1,761"
Roy,828,3,0,0,0,3,6,1,5,0,0,846
Royal City,"2,240",2,0,1,0,1,21,8,9,4,0,"2,286"
Ruston,855,1,0,0,0,1,39,5,28,6,0,935
Sammamish,"66,820",23,2,5,3,13,404,68,312,24,2,"67,676"
SeaTac,"29,533",130,3,22,52,53,"1,098",175,624,299,3,"31,992"
Seattle,"763,706","4,471",28,358,"1,339","2,746","34,333","7,210","23,478","3,645",98,"841,412"
Sedro Woolley,"12,184",11,0,1,0,10,219,29,174,16,0,"12,644"
Selah,"8,110",7,0,2,2,3,127,24,90,13,0,"8,378"
Sequim,"7,599",16,2,4,0,10,316,45,263,8,2,"8,265"
Shelton,"10,432",53,0,20,5,28,583,66,485,32,1,"11,705"
Shoreline,"57,216",95,0,17,25,53,"1,104",229,737,138,4,"59,618"
Skykomish,225,0,0,0,0,0,2,2,0,0,0,229
Snoqualmie,"14,183",6,0,1,3,2,170,15,145,10,1,"14,536"
Soap Lake,"1,613",4,0,0,1,3,59,14,43,2,0,"1,739"
South Bend,"1,680",0,0,0,0,0,1,0,0,1,0,"1,682"
Spokane,"220,432","1,520",6,230,311,973,"13,048","1,743","10,026","1,279",45,"249,613"
Spokane Valley,"100,983",311,1,38,82,190,"4,465",483,"3,626",356,4,"110,539"
Stanwood,"7,330",11,0,0,1,10,155,20,124,11,0,"7,662"
Steilacoom,"6,423",13,0,0,1,12,77,19,51,7,2,"6,605"
Sultan,"5,266",8,0,0,2,6,73,9,54,10,0,"5,428"
Sumas,"1,529",1,0,1,0,0,8,1,7,0,0,"1,547"
Sumner,"10,270",34,0,6,9,19,451,104,282,65,9,"11,249"
Sunnyside,"16,839",24,0,3,6,15,540,51,379,110,0,"17,967"
Tacoma,"218,650","1,848",16,160,422,"1,250","11,415","1,768","8,021","1,626",91,"245,267"
Tenino,"1,873",3,0,0,0,3,26,4,18,4,0,"1,931"
Toledo,765,0,0,0,0,0,12,1,11,0,0,789
Toppenish,"8,886",54,1,6,13,34,541,100,311,130,2,"10,078"
Tukwila,"20,439",158,1,26,74,57,"3,350",189,"2,681",480,2,"27,457"
Tumwater,"24,167",73,0,14,18,41,648,99,483,66,1,"25,610"
Twisp,964,0,0,0,0,0,11,4,5,2,0,986
Union Gap,"6,162",15,1,1,8,5,580,46,493,41,0,"7,352"
University Place,"34,085",88,0,18,18,52,541,103,397,41,0,"35,343"
Vancouver,"185,034",889,3,206,185,495,"5,998",888,"4,302",808,36,"198,844"
Walla Walla,"33,047",114,2,29,16,67,"1,052",161,814,77,5,"35,384"
Washougal,"16,305",24,1,9,4,10,235,34,183,18,1,"16,824"
Wenatchee,"34,513",62,1,16,10,35,638,66,532,40,1,"35,914"
Westport,"2,080",7,0,0,0,7,64,8,55,1,0,"2,222"
West Richland,"15,343",15,0,5,1,9,103,23,76,4,2,"15,581"
White Salmon,"2,655",0,0,0,0,0,19,3,10,6,0,"2,693"
Winlock,"1,392",1,0,0,0,1,13,1,11,1,0,"1,420"
Winthrop,457,3,0,0,0,3,5,0,5,0,0,473
Woodinville,"13,068",10,0,1,4,5,270,23,225,22,2,"13,630"
Woodland,"6,469",11,0,7,0,4,205,42,146,17,1,"6,902"
Yakima,"94,168",420,9,44,91,276,"2,723",439,"1,866",418,15,"100,469"
Yarrow Point,"1,166",0,0,0,0,0,8,2,6,0,0,"1,182"
Yelm,"9,741",32,0,2,5,25,392,36,327,29,3,"10,592"
